temp_pass_rc,passreduction_th_rc_plan,passdiff_width_rc_plan,strength_yp,th_pass_plan,width_pass_rc,rollforce_plan,rollgap_plan,mill_modulus,dna_set,rollforce_rm,th_pass_rc
965.0,-4.048,0.2,42.0,15.581,2942.5,4570.5,11.67,687.4,2.532,4689.5,15.605
1125.0,-18.27,154.2,43.2,202.332,1864.7,4255.7,202.24,721.2,2.682,4192.0,202.34
1123.0,-16.425,164.2,43.4,185.391,2028.9,4440.2,184.77,721.2,2.682,4290.0,185.915
1119.0,-18.256,220.7,43.6,167.706,2249.6,4602.0,166.58,721.3,2.682,4131.0,167.659
1117.0,-16.37,242.8,43.8,150.84,2492.4,4707.9,149.3,721.3,2.682,4138.3,151.289
1111.0,-9.809,172.8,44.0,141.395,2665.2,2350.3,142.98,721.3,2.682,2880.0,141.48
1106.0,-8.942,179.3,44.2,132.356,2844.5,2411.8,133.7,721.3,2.682,3228.5,132.538
1099.0,-9.405,216.7,44.4,123.036,3061.2,2517.5,124.08,721.3,2.682,2969.2,123.133
1094.0,-8.8,218.6,44.6,113.848,3279.8,3010.3,114.06,721.4,2.682,3200.8,114.333
1078.0,-18.156,0.0,44.8,95.716,3279.8,3940.5,94.21,702.7,2.682,4267.0,96.177
1073.0,-14.213,0.8,45.0,81.518,3280.6,3708.2,80.12,702.7,2.682,3762.8,81.964
1063.0,-14.041,0.0,45.2,67.602,3280.6,3925.2,65.68,702.8,2.682,4145.9,67.923
1057.0,-11.934,0.7,45.4,55.367,3281.3,4043.0,53.05,702.8,2.632,4149.5,55.989
1046.0,-10.981,0.0,45.6,44.981,3281.3,4201.9,42.28,702.8,2.632,4369.4,45.008
1037.0,-8.88,0.4,45.8,35.605,3281.7,4398.6,32.48,702.8,2.632,4338.6,36.128
1023.0,-7.132,0.4,46.0,28.43,3282.1,4646.5,24.85,702.8,2.632,4445.3,28.996
1011.0,-5.442,0.3,46.2,23.122,3282.4,4740.9,19.33,702.8,2.632,4215.6,23.554
992.0,-4.368,0.2,46.4,18.819,3282.6,4896.1,14.74,702.8,2.632,4380.0,19.186
968.0,-3.488,0.1,46.6,15.332,3282.7,4924.3,11.1,702.8,2.572,4678.2,15.698
923.0,-2.882,0.1,46.8,12.809,3282.8,4961.5,8.48,702.8,2.572,5030.4,12.816
864.0,-1.63,0.1,47.0,11.18,3282.9,4302.4,7.83,702.8,2.642,4308.6,11.186
1130.0,-21.158,184.0,47.4,230.292,2189.0,2704.7,232.54,682.0,2.642,2671.7,230.272
1127.0,-19.627,202.5,47.6,210.064,2391.5,2815.9,211.83,682.0,2.642,2901.7,210.645
1124.0,-23.384,298.4,47.8,187.291,2689.9,3186.4,188.15,682.1,2.642,3131.5,187.261
1121.0,-23.272,373.5,48.0,163.465,3063.4,3211.6,163.91,682.1,2.642,3173.0,163.989
1110.0,-24.378,0.3,48.2,139.237,3063.7,3432.8,139.05,693.1,2.642,3719.8,139.611
1106.0,-21.406,1.5,48.4,117.551,3065.2,3514.6,116.95,693.1,2.69,3596.0,118.205
1099.0,-20.594,0.0,48.6,97.461,3065.2,3721.0,96.25,693.2,2.69,3848.7,97.611
1093.0,-18.891,1.2,48.8,77.988,3066.4,3827.8,76.32,693.2,2.69,4005.7,78.72
1083.0,-16.596,0.0,49.0,62.07,3066.4,3935.6,60.01,693.2,2.69,4201.4,62.124
1076.0,-14.184,0.8,49.2,47.489,3067.2,4133.0,44.92,693.2,2.69,4298.1,47.94
1066.0,-10.95,0.6,49.4,36.457,3067.8,4207.8,33.61,693.3,2.69,4189.1,36.99
1054.0,-8.801,0.5,49.6,27.703,3068.3,4395.2,24.45,693.3,2.69,4441.3,28.189
1038.0,-6.325,0.3,49.8,21.392,3068.6,4498.6,17.9,693.3,2.69,4269.6,21.864
1017.0,-4.764,0.2,50.0,16.684,3068.8,4549.6,13.04,693.3,2.69,4426.2,17.1
985.0,-3.307,0.2,50.2,13.368,3069.0,4635.0,9.55,693.3,2.69,4352.1,13.793
930.0,-2.556,0.1,50.4,11.18,3069.1,4574.0,7.33,693.3,2.6,4852.6,11.237
1134.0,-19.674,186.7,50.8,231.755,2385.7,2479.7,234.41,679.9,2.7,2568.7,231.763
1131.0,-19.466,217.1,51.0,211.782,2602.8,2738.4,213.74,679.9,2.7,2836.2,212.297
1127.0,-22.257,304.0,51.2,190.051,2906.8,2913.2,191.41,679.9,2.7,2966.8,190.04
1125.0,-22.447,383.1,51.4,167.06,3289.9,2966.9,167.97,680.0,2.7,3029.8,167.593
1112.0,-20.812,0.3,51.6,146.543,3290.2,3383.3,146.67,703.1,2.7,3560.8,146.781
1108.0,-21.544,1.5,51.8,124.707,3291.7,3808.5,123.88,703.2,2.7,3831.6,125.237
1101.0,-24.466,0.2,52.0,100.669,3291.9,4504.6,98.48,703.2,2.7,4616.9,100.771
1097.0,-21.497,1.2,52.2,78.679,3293.1,4657.3,75.94,703.2,2.7,4725.3,79.274
1088.0,-17.983,0.0,52.4,61.239,3293.1,4649.5,58.24,703.3,2.7,4833.9,61.291
1080.0,-14.135,0.8,52.6,46.608,3293.9,4690.0,43.33,703.3,2.7,4616.0,47.156
1069.0,-10.934,0.6,52.8,35.697,3294.5,4711.1,32.22,703.3,2.7,4676.5,36.222
1058.0,-8.52,0.4,53.0,27.232,3294.9,4768.7,23.55,703.3,2.7,4737.6,27.702
1041.0,-6.29,0.3,53.2,20.989,3295.2,4912.1,17.0,703.4,2.7,4756.5,21.412
1020.0,-4.544,0.2,53.4,16.441,3295.4,4864.4,12.45,703.4,2.7,4756.7,16.868
986.0,-3.295,0.2,53.6,13.245,3295.6,4953.6,9.11,703.4,2.73,4735.3,13.573
925.0,-2.269,0.1,53.8,11.18,3295.7,4819.5,7.11,703.4,2.64,4707.7,11.304
1130.0,-5.964,51.3,54.2,245.066,2161.3,975.3,250.03,660.8,2.64,1512.7,245.127
1127.0,-12.617,116.3,54.4,232.015,2277.6,2235.1,234.86,660.8,2.64,2176.7,232.51
1124.0,-15.4,161.3,54.6,217.121,2438.9,2666.9,219.07,660.9,2.64,2479.3,217.11
1121.0,-15.217,182.6,54.8,201.39,2621.5,2447.9,203.42,660.9,2.64,2401.5,201.893
1117.0,-16.597,234.8,55.0,185.318,2856.3,2564.4,186.92,661.0,2.64,2501.0,185.296
1114.0,-16.699,293.3,55.2,168.067,3149.6,2598.7,169.34,661.0,2.64,2527.6,168.597
1103.0,-9.067,0.0,55.4,158.596,3149.6,1638.4,161.29,697.0,2.64,2297.8,159.53
1098.0,-22.41,1.3,55.6,136.465,3150.9,4062.3,135.33,697.0,2.64,4176.4,137.12
1093.0,-25.973,0.1,55.8,111.465,3151.0,4788.2,108.91,697.1,2.64,4568.0,111.147
1090.0,-23.65,1.3,56.0,87.325,3152.3,5231.9,83.76,697.1,2.64,5000.3,87.497
1083.0,-20.059,0.0,56.2,67.437,3152.3,5159.3,63.68,697.1,2.64,5140.6,67.438
1078.0,-15.922,0.8,56.4,51.014,3153.1,5064.5,47.14,697.1,2.64,5124.4,51.516
1067.0,-12.486,0.0,56.6,39.027,3153.1,4983.4,35.09,697.2,2.64,5084.6,39.03
1058.0,-8.752,0.5,56.8,29.778,3153.6,4891.3,25.83,697.2,2.64,4800.3,30.278
1043.0,-6.637,0.3,57.0,23.184,3153.9,4873.7,19.16,697.2,2.64,4701.0,23.641
1026.0,-5.005,0.3,57.2,18.193,3154.2,4812.2,14.19,697.2,2.64,4877.5,18.636
999.0,-3.656,0.1,57.4,14.562,3154.3,4877.3,10.41,697.2,2.64,4749.6,14.98
950.0,-2.838,0.2,57.6,12.09,3154.5,4671.5,8.19,697.2,2.64,5083.5,12.142
1130.0,-5.964,51.3,54.2,245.066,2161.3,975.3,250.03,660.8,2.64,1512.7,245.127
1127.0,-12.617,116.3,54.4,232.015,2277.6,2235.1,234.86,660.8,2.64,2176.7,232.51
1124.0,-15.4,161.3,54.6,217.121,2438.9,2666.9,219.07,660.9,2.64,2479.3,217.11
1121.0,-15.217,182.6,54.8,201.39,2621.5,2447.9,203.42,660.9,2.64,2401.5,201.893
1117.0,-16.597,234.8,55.0,185.318,2856.3,2564.4,186.92,661.0,2.64,2501.0,185.296
1114.0,-16.699,293.3,55.2,168.067,3149.6,2598.7,169.34,661.0,2.64,2527.6,168.597
1103.0,-9.067,0.0,55.4,158.596,3149.6,1638.4,161.29,697.0,2.64,2297.8,159.53
1098.0,-22.41,1.3,55.6,136.465,3150.9,4062.3,135.33,697.0,2.64,4176.4,137.12
1093.0,-25.973,0.1,55.8,111.465,3151.0,4788.2,108.91,697.1,2.64,4568.0,111.147
1090.0,-23.65,1.3,56.0,87.325,3152.3,5231.9,83.76,697.1,2.64,5000.3,87.497
1083.0,-20.059,0.0,56.2,67.437,3152.3,5159.3,63.68,697.1,2.64,5140.6,67.438
